id,title,categoryId,playlistId,duration,views,uploadedDate
A2bFN3MyNDA,Lecture 1 - Introduction to Algorithms,24,PLOtl7M3yp-DX32N0fVIyvn7ipWKNGmwpp,PT1H20M1S,51250,2017-03-20T23:02:15Z
Cj73t5DGDWM,Lecture 2 - Asymptotic Notation,24,PLOtl7M3yp-DX32N0fVIyvn7ipWKNGmwpp,PT1H20M,12582,2017-03-20T23:06:47Z
Ebk3l5bG5Tk,Lecture 3 - Program Analysis,24,PLOtl7M3yp-DX32N0fVIyvn7ipWKNGmwpp,PT1H13M53S,5352,2017-03-03T21:49:28Z
keb4uAM4bFw,Lecture 4 - Elementary Data Structures,24,PLOtl7M3yp-DX32N0fVIyvn7ipWKNGmwpp,PT1H17M53S,5215,2017-03-03T21:49:28Z
ITO0rlNqTd0,Lecture 5 - Dictionaries,24,PLOtl7M3yp-DX32N0fVIyvn7ipWKNGmwpp,PT1H18M25S,3205,2017-03-03T21:49:28Z
hfCW4KdD9DY,Lecture 6 - Hashing,24,PLOtl7M3yp-DX32N0fVIyvn7ipWKNGmwpp,PT1H8M41S,2918,2017-03-03T21:49:29Z
sU0r4AXgRyk,Lecture 7 - Heapsort / Priority Queues,24,PLOtl7M3yp-DX32N0fVIyvn7ipWKNGmwpp,PT1H20M,2161,2017-03-03T21:49:29Z
kVVR_-E9Qj4,Lecture 8 - Mergesort / Quicksort,24,PLOtl7M3yp-DX32N0fVIyvn7ipWKNGmwpp,PT1H7M34S,1687,2017-03-03T21:49:30Z
nZh57Flly_U,Lecture 9 - Linear Sorting,24,PLOtl7M3yp-DX32N0fVIyvn7ipWKNGmwpp,PT55M24S,1161,2017-03-03T21:49:30Z
PsJS89WFUAA,Lecture 10 - Graph Data Structures,24,PLOtl7M3yp-DX32N0fVIyvn7ipWKNGmwpp,PT1H19M50S,3030,2017-03-03T21:49:31Z
SSaKPE7CV70,Lecture 11 - Breadth-First Search,24,PLOtl7M3yp-DX32N0fVIyvn7ipWKNGmwpp,PT1H12M47S,1923,2017-03-03T21:49:31Z
RWVk4_uLlFA,Lecture 12 - Depth-First Search,24,PLOtl7M3yp-DX32N0fVIyvn7ipWKNGmwpp,PT1H17M43S,1510,2017-03-03T21:49:32Z
GdZZFnRKOcU,Lecture 13 - Minimum Spanning Trees I,24,PLOtl7M3yp-DX32N0fVIyvn7ipWKNGmwpp,PT1H12M28S,1398,2017-03-03T21:49:27Z
tdb62tsjqI8,Lecture 14 - Minimum Spanning Trees II,24,PLOtl7M3yp-DX32N0fVIyvn7ipWKNGmwpp,PT1H18M42S,805,2017-03-03T21:49:26Z
Ns8-fdqab9Q,Lecture 15 - Shortest Paths,24,PLOtl7M3yp-DX32N0fVIyvn7ipWKNGmwpp,PT1H14M32S,897,2017-03-03T21:49:26Z
_ieNMJuTr4U,Lecture 16 - Backtracking I,24,PLOtl7M3yp-DX32N0fVIyvn7ipWKNGmwpp,PT1H18M17S,3045,2017-03-03T21:49:25Z
Ls9gAZUCxP4,Lecture 17 - Backtracking II,24,PLOtl7M3yp-DX32N0fVIyvn7ipWKNGmwpp,PT1H18M24S,947,2017-03-03T21:49:25Z
eVYkFniKeis,Lecture 18 - Introduction to Dynamic Programming,24,PLOtl7M3yp-DX32N0fVIyvn7ipWKNGmwpp,PT1H12M19S,2085,2017-03-03T21:49:24Z
qd77BhCrvOY,Lecture 19 - Edit Distance I,24,PLOtl7M3yp-DX32N0fVIyvn7ipWKNGmwpp,PT1H8M33S,1215,2017-03-03T21:49:24Z
No3A-D25xXU,Lecture 20 - Edit Distance II,24,PLOtl7M3yp-DX32N0fVIyvn7ipWKNGmwpp,PT1H13M6S,677,2017-03-03T21:49:23Z
Ute49tYhyFw,Lecture 21 - Edit Distance III,24,PLOtl7M3yp-DX32N0fVIyvn7ipWKNGmwpp,PT1H18M38S,558,2017-03-03T21:49:23Z
_Rme0IO2S38,Lecture 22 - Applications of Dynamic Programming,24,PLOtl7M3yp-DX32N0fVIyvn7ipWKNGmwpp,PT59M2S,1290,2017-03-03T21:49:22Z
56X2UnRwLQA,Lecture 23 - Introduction to NP-Completeness,24,PLOtl7M3yp-DX32N0fVIyvn7ipWKNGmwpp,PT1H20M,847,2017-03-03T21:49:22Z
